O,N,B,S,P,Specific surface area,Pore volume,Dap,ID/IG,Electrolyte,Current collector,Active mass loading,Potential window,Current density,Specific capacity,micro%
7.15,3.52,0.0,0.0,0.0,1546.1,0.5753,1.488390143,1.029,2M ZnSO4,carbon cloth,1.0,1.6,0.1,85.0,0.939857466
8.12,3.79,3.66,0.0,0.0,1315.2,0.5116,1.555961071,1.038,2M ZnSO4,carbon cloth,1.0,1.6,0.1,114.0,0.931391712
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,90.2,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,86.3,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,79.9,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1.0,70.3,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2.0,64.8,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5.0,51.5,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10.0,38.5,0.209302326
21.55,3.29,0.0,0.0,0.0,1140.8,0.86,3.01542777,0.82,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20.0,23.3,0.209302326
17.66,3.01,0.0,1.12,0.0,508.0,0.34,2.677165354,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,69.1,0.205882353
17.66,3.01,0.0,1.12,0.0,508.0,0.34,2.677165354,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,60.1,0.205882353
17.66,3.01,0.0,1.12,0.0,508.0,0.34,2.677165354,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,56.4,0.205882353
17.66,3.01,0.0,1.12,0.0,508.0,0.34,2.677165354,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1.0,47.4,0.205882353
17.66,3.01,0.0,1.12,0.0,508.0,0.34,2.677165354,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2.0,40.9,0.205882353
17.66,3.01,0.0,1.12,0.0,508.0,0.34,2.677165354,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5.0,34.2,0.205882353
17.66,3.01,0.0,1.12,0.0,508.0,0.34,2.677165354,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10.0,19.8,0.205882353
17.66,3.01,0.0,1.12,0.0,508.0,0.34,2.677165354,0.86,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20.0,9.5,0.205882353
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,2.802050986,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.1,136.3,0.154639175
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,2.802050986,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.25,126.4,0.154639175
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,2.802050986,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,0.5,120.3,0.154639175
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,2.802050986,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,1.0,112.6,0.154639175
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,2.802050986,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,2.0,108.4,0.154639175
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,2.802050986,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,5.0,100.4,0.154639175
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,2.802050986,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,10.0,94.5,0.154639175
16.08,2.82,0.0,1.78,0.0,1384.7,0.97,2.802050986,0.89,1M Zn(CF3SO3)2,stainless-steel mesh,2.5,1.8,20.0,86.5,0.154639175
8.2,5.3,0.0,0.0,0.0,879.0,0.447,2.034129693,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,0.1,136.8,0.606263982
8.2,5.3,0.0,0.0,0.0,879.0,0.447,2.034129693,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,0.5,110.9,0.606263982
8.2,5.3,0.0,0.0,0.0,879.0,0.447,2.034129693,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,1.0,102.6,0.606263982
8.2,5.3,0.0,0.0,0.0,879.0,0.447,2.034129693,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,5.0,76.1,0.606263982
8.2,5.3,0.0,0.0,0.0,879.0,0.447,2.034129693,2.27,2M ZnSO4,stainless-steel foil,1.0,1.6,10.0,66.5,0.606263982
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,3.438814706,0.95,2M ZnSO4,nickel foam,2.0,1.6,0.05,109.66,0.326241135
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,3.438814706,0.95,2M ZnSO4,nickel foam,2.0,1.6,0.1,93.3,0.326241135
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,3.438814706,0.95,2M ZnSO4,nickel foam,2.0,1.6,0.2,84.6,0.326241135
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,3.438814706,0.95,2M ZnSO4,nickel foam,2.0,1.6,0.3,81.0,0.326241135
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,3.438814706,0.95,2M ZnSO4,nickel foam,2.0,1.6,0.5,76.3,0.326241135
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,3.438814706,0.95,2M ZnSO4,nickel foam,2.0,1.6,1.0,71.6,0.326241135
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,3.438814706,0.95,2M ZnSO4,nickel foam,2.0,1.6,2.0,67.6,0.326241135
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,3.438814706,0.95,2M ZnSO4,nickel foam,2.0,1.6,3.0,65.1,0.326241135
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,3.438814706,0.95,2M ZnSO4,nickel foam,2.0,1.6,5.0,62.4,0.326241135
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,3.438814706,0.95,2M ZnSO4,nickel foam,2.0,1.6,10.0,59.5,0.326241135
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,3.438814706,0.95,2M ZnSO4,nickel foam,2.0,1.6,15.0,58.4,0.326241135
5.68,1.49,0.0,0.0,0.0,1640.1,1.41,3.438814706,0.95,2M ZnSO4,nickel foam,2.0,1.6,20.0,57.1,0.326241135
11.5,6.7,0.0,0.0,0.0,642.0,1.03,6.417445483,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,133.7,0.145631068
11.5,6.7,0.0,0.0,0.0,642.0,1.03,6.417445483,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,102.5,0.145631068
11.5,6.7,0.0,0.0,0.0,642.0,1.03,6.417445483,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,84.3,0.145631068
11.5,6.7,0.0,0.0,0.0,642.0,1.03,6.417445483,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,75.0,0.145631068
11.5,6.7,0.0,0.0,0.0,642.0,1.03,6.417445483,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,69.1,0.145631068
11.5,6.7,0.0,0.0,0.0,642.0,1.03,6.417445483,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,61.7,0.145631068
11.5,6.7,0.0,0.0,0.0,642.0,1.03,6.417445483,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,10.0,56.6,0.145631068
11.5,6.7,0.0,0.0,0.0,642.0,1.03,6.417445483,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,51.9,0.145631068
11.5,6.7,0.0,0.0,0.0,642.0,1.03,6.417445483,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,50.0,45.6,0.145631068
11.5,6.7,0.0,0.0,0.0,642.0,1.03,6.417445483,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,100.0,39.7,0.145631068
11.5,6.7,0.0,0.0,0.0,642.0,1.03,6.417445483,0.964,1M ZnSO4,stainless-steel mesh,2.0,1.6,200.0,30.6,0.145631068
14.9,3.1,0.0,0.0,0.0,620.0,0.86,5.548387097,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,104.4,0.151162791
14.9,3.1,0.0,0.0,0.0,620.0,0.86,5.548387097,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,83.0,0.151162791
14.9,3.1,0.0,0.0,0.0,620.0,0.86,5.548387097,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,69.7,0.151162791
14.9,3.1,0.0,0.0,0.0,620.0,0.86,5.548387097,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,61.7,0.151162791
14.9,3.1,0.0,0.0,0.0,620.0,0.86,5.548387097,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,56.0,0.151162791
14.9,3.1,0.0,0.0,0.0,620.0,0.86,5.548387097,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,50.4,0.151162791
14.9,3.1,0.0,0.0,0.0,620.0,0.86,5.548387097,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,10.0,46.6,0.151162791
14.9,3.1,0.0,0.0,0.0,620.0,0.86,5.548387097,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,43.7,0.151162791
14.9,3.1,0.0,0.0,0.0,620.0,0.86,5.548387097,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,50.0,39.1,0.151162791
14.9,3.1,0.0,0.0,0.0,620.0,0.86,5.548387097,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,100.0,35.4,0.151162791
14.9,3.1,0.0,0.0,0.0,620.0,0.86,5.548387097,0.962,1M ZnSO4,stainless-steel mesh,2.0,1.6,200.0,30.4,0.151162791
11.2,4.2,0.0,0.0,0.0,697.0,0.83,4.763271162,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,92.4,0.21686747
11.2,4.2,0.0,0.0,0.0,697.0,0.83,4.763271162,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,73.1,0.21686747
11.2,4.2,0.0,0.0,0.0,697.0,0.83,4.763271162,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,62.4,0.21686747
11.2,4.2,0.0,0.0,0.0,697.0,0.83,4.763271162,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,56.0,0.21686747
11.2,4.2,0.0,0.0,0.0,697.0,0.83,4.763271162,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,51.3,0.21686747
11.2,4.2,0.0,0.0,0.0,697.0,0.83,4.763271162,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,45.7,0.21686747
11.2,4.2,0.0,0.0,0.0,697.0,0.83,4.763271162,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,10.0,42.3,0.21686747
11.2,4.2,0.0,0.0,0.0,697.0,0.83,4.763271162,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,38.9,0.21686747
11.2,4.2,0.0,0.0,0.0,697.0,0.83,4.763271162,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,50.0,33.3,0.21686747
11.2,4.2,0.0,0.0,0.0,697.0,0.83,4.763271162,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,100.0,28.7,0.21686747
11.2,4.2,0.0,0.0,0.0,697.0,0.83,4.763271162,0.958,1M ZnSO4,stainless-steel mesh,2.0,1.6,200.0,27.2,0.21686747
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,2.508328434,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.1,204.7,0.385416667
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,2.508328434,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.2,181.5,0.385416667
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,2.508328434,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,0.5,165.9,0.385416667
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,2.508328434,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,1.0,152.7,0.385416667
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,2.508328434,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,2.0,141.1,0.385416667
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,2.508328434,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,5.0,134.2,0.385416667
12.04,8.29,0.0,0.0,0.0,1530.9,0.96,2.508328434,0.86,1M Zn(CF3SO3)2,freestanding,2.4,1.6,10.0,128.6,0.385416667
20.61,3.95,0.0,0.0,0.0,544.83,0.26,1.908852303,0.96,2M ZnSO4,titanium foil,2.0,1.8,0.1,134.5,0.95446286
20.61,3.95,0.0,0.0,0.0,544.83,0.26,1.908852303,0.96,2M ZnSO4,titanium foil,2.0,1.8,0.2,110.2,0.95446286
20.61,3.95,0.0,0.0,0.0,544.83,0.26,1.908852303,0.96,2M ZnSO4,titanium foil,2.0,1.8,0.4,93.0,0.95446286
20.61,3.95,0.0,0.0,0.0,544.83,0.26,1.908852303,0.96,2M ZnSO4,titanium foil,2.0,1.8,0.5,86.7,0.95446286
20.61,3.95,0.0,0.0,0.0,544.83,0.26,1.908852303,0.96,2M ZnSO4,titanium foil,2.0,1.8,1.0,72.9,0.95446286
20.61,3.95,0.0,0.0,0.0,544.83,0.26,1.908852303,0.96,2M ZnSO4,titanium foil,2.0,1.8,2.0,57.0,0.95446286
20.61,3.95,0.0,0.0,0.0,544.83,0.26,1.908852303,0.96,2M ZnSO4,titanium foil,2.0,1.8,3.0,48.0,0.95446286
20.61,3.95,0.0,0.0,0.0,544.83,0.26,1.908852303,0.96,2M ZnSO4,titanium foil,2.0,1.8,4.0,41.5,0.95446286
18.15,3.51,0.0,0.0,0.0,648.22,0.32,1.97463824,1.01,2M ZnSO4,titanium foil,2.0,1.8,0.1,156.54,0.949369041
18.15,3.51,0.0,0.0,0.0,648.22,0.32,1.97463824,1.01,2M ZnSO4,titanium foil,2.0,1.8,0.2,132.3,0.949369041
18.15,3.51,0.0,0.0,0.0,648.22,0.32,1.97463824,1.01,2M ZnSO4,titanium foil,2.0,1.8,0.3,111.55,0.949369041
18.15,3.51,0.0,0.0,0.0,648.22,0.32,1.97463824,1.01,2M ZnSO4,titanium foil,2.0,1.8,0.4,105.4,0.949369041
18.15,3.51,0.0,0.0,0.0,648.22,0.32,1.97463824,1.01,2M ZnSO4,titanium foil,2.0,1.8,0.5,98.5,0.949369041
18.15,3.51,0.0,0.0,0.0,648.22,0.32,1.97463824,1.01,2M ZnSO4,titanium foil,2.0,1.8,1.0,86.8,0.949369041
18.15,3.51,0.0,0.0,0.0,648.22,0.32,1.97463824,1.01,2M ZnSO4,titanium foil,2.0,1.8,2.0,70.5,0.949369041
18.15,3.51,0.0,0.0,0.0,648.22,0.32,1.97463824,1.01,2M ZnSO4,titanium foil,2.0,1.8,3.0,59.2,0.949369041
18.15,3.51,0.0,0.0,0.0,648.22,0.32,1.97463824,1.01,2M ZnSO4,titanium foil,2.0,1.8,4.0,51.8,0.949369041
15.17,1.8,0.0,0.0,0.0,225.22,0.1,1.776041204,1.08,2M ZnSO4,titanium foil,2.0,1.8,0.1,84.5,0.920122547
15.17,1.8,0.0,0.0,0.0,225.22,0.1,1.776041204,1.08,2M ZnSO4,titanium foil,2.0,1.8,0.2,63.4,0.920122547
15.17,1.8,0.0,0.0,0.0,225.22,0.1,1.776041204,1.08,2M ZnSO4,titanium foil,2.0,1.8,0.4,50.7,0.920122547
15.17,1.8,0.0,0.0,0.0,225.22,0.1,1.776041204,1.08,2M ZnSO4,titanium foil,2.0,1.8,0.5,45.0,0.920122547
15.17,1.8,0.0,0.0,0.0,225.22,0.1,1.776041204,1.08,2M ZnSO4,titanium foil,2.0,1.8,1.0,34.5,0.920122547
15.17,1.8,0.0,0.0,0.0,225.22,0.1,1.776041204,1.08,2M ZnSO4,titanium foil,2.0,1.8,2.0,24.5,0.920122547
15.17,1.8,0.0,0.0,0.0,225.22,0.1,1.776041204,1.08,2M ZnSO4,titanium foil,2.0,1.8,3.0,19.7,0.920122547
15.17,1.8,0.0,0.0,0.0,225.22,0.1,1.776041204,1.08,2M ZnSO4,titanium foil,2.0,1.8,4.0,17.0,0.920122547
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.921005386,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,0.2,153.0,0.598130841
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.921005386,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,0.5,125.0,0.598130841
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.921005386,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,1.0,110.0,0.598130841
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.921005386,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,2.0,98.0,0.598130841
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.921005386,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,5.0,84.0,0.598130841
11.92,0.0,0.0,0.0,0.0,2228.0,1.07,1.921005386,1.5,1M ZnSO4,stainless-steel foil,2.0,1.75,10.0,75.0,0.598130841
5.5,2.53,0.0,0.0,0.0,947.0,0.54,2.280887012,0.855,1M ZnSO4,stainless-steel foil,1.5,1.6,0.5,117.9,0.5
5.5,2.53,0.0,0.0,0.0,947.0,0.54,2.280887012,0.855,1M ZnSO4,stainless-steel foil,1.5,1.6,20.0,71.0,0.5
3.67,0.0,0.0,0.0,2.71,1175.0,0.71,2.417021277,0.858,1M ZnSO4,stainless-steel foil,1.5,1.6,0.5,136.2,0.577464789
3.67,0.0,0.0,0.0,2.71,1175.0,0.71,2.417021277,0.858,1M ZnSO4,stainless-steel foil,1.5,1.6,20.0,75.9,0.577464789
10.41,2.37,0.0,0.0,2.1,899.0,0.52,2.313681869,0.856,1M ZnSO4,stainless-steel foil,1.5,1.6,0.5,165.9,0.365384615
10.41,2.37,0.0,0.0,2.1,899.0,0.52,2.313681869,0.856,1M ZnSO4,stainless-steel foil,1.5,1.6,20.0,110.9,0.365384615
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,119.9,0.652505447
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,108.3,0.652505447
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,100.2,0.652505447
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,94.6,0.652505447
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,90.4,0.652505447
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,84.8,0.652505447
9.64,3.44,0.0,0.0,0.0,1624.0,0.918,2.261083744,0.999,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,81.1,0.652505447
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,159.9,0.458075905
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,139.2,0.458075905
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,0.5,124.8,0.458075905
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,1.0,116.0,0.458075905
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,2.0,109.9,0.458075905
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,5.0,101.9,0.458075905
8.42,1.64,0.0,0.0,0.0,1949.0,1.133,2.325295023,0.917,1M ZnSO4,stainless-steel mesh,10.0,1.6,20.0,94.0,0.458075905
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.1,114.2,0.209616829
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.2,104.8,0.209616829
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,0.5,95.6,0.209616829
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,1.0,90.0,0.209616829
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,2.0,86.8,0.209616829
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,5.0,82.4,0.209616829
5.52,0.89,0.0,0.0,0.0,2276.0,1.331,2.339191564,0.872,1M ZnSO4,stainless-steel mesh,2.0,1.6,20.0,78.5,0.209616829
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,48.3,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,1.0,43.4,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,2.0,38.9,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,3.0,36.5,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,4.0,34.8,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,5.0,33.2,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,7.0,30.2,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,10.0,26.7,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,15.0,24.7,0.621890547
7.71,0.0,0.0,0.0,0.0,804.0,0.315,1.567164179,0.97,1M ZnSO4,stainless-steel mesh,1.2,1.6,20.0,21.6,0.621890547
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,0.5,177.7,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,1.0,148.5,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,2.0,135.5,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,3.0,127.9,0.576271186
8.06,0.0,0.0,0.0,0.0,1770.0,0.721,1.629378531,1.1,1M ZnSO4,stainless-steel mesh,1.2,1.6,4.0,122.1,0.576271186
